w_n              t_n
61997.5490196079   63.13066
62103.2352941176  63.232403
           61815  63.334146
62132.0588235294  63.435889
61959.1176470588  63.537632
62160.8823529412  63.639375
62035.9803921569  63.741118
62477.9411764706  63.842861
 61891.862745098  63.944604
 62228.137254902  64.046347
61949.5098039216   64.14809
62026.3725490196  64.249833
61622.8431372549  64.351576
62218.5294117647  64.453319
61651.6666666667  64.555062
61632.4509803922  64.656805
62141.6666666667  64.758548
61795.7843137255  64.860291
62064.8039215686  64.962034
61805.3921568628  65.063777
62122.4509803922   65.16552
62055.1960784314  65.267263
62122.4509803922  65.369006
61949.5098039216  65.470749
61517.1568627451  65.572492
62016.7647058823  65.674235
62256.9607843137  65.775978
62045.5882352941  65.877721
62112.8431372549  65.979464
62180.0980392157  66.081207
62189.7058823529   66.18295
61786.1764705882  66.284693
62007.1568627451  66.386436
62074.4117647059  66.488179
62295.3921568627  66.589922
62554.8039215686  66.691665
61968.7254901961  66.793408
62487.5490196078  66.895151
61584.4117647059  66.996894
 62266.568627451  67.098637
62554.8039215686   67.20038
62074.4117647059  67.302123
 62189.705882353  67.403866
62506.7647058823  67.505609
62256.9607843137  67.607352
61911.0784313725  67.709095
62180.0980392157  67.810838
61843.8235294118  67.912581
61997.5490196078  68.014324
61622.8431372549  68.116067
61276.9607843137   68.21781
62112.8431372549  68.319553
61824.6078431373  68.421296
61959.1176470588  68.523039
62103.2352941176  68.624782
62093.6274509804  68.726525
61680.4901960784  68.828268
61968.7254901961  68.930011
62516.3725490196  69.031754
 61286.568627451  69.133497
61690.0980392157   69.23524
61738.1372549019  69.336983
61959.1176470588  69.438726
62564.4117647059  69.540469
61661.2745098039  69.642212
61661.2745098039  69.743955
62016.7647058824  69.845698
61392.2549019608  69.947441
61795.7843137255  70.049184
61920.6862745098  70.150927
61718.9215686275   70.25267
61709.3137254902  70.354413
61488.3333333333  70.456156
62151.2745098039  70.557899
61978.3333333333  70.659642
61872.6470588235  70.761385
62439.5098039216  70.863128
62016.7647058824  70.964871
62189.7058823529  71.066614
61622.8431372549  71.168357
61632.4509803922    71.2701
62074.4117647059  71.371843
61834.2156862745  71.473586
62891.0784313725  71.575329
62622.0588235294  71.677072
62679.7058823529  71.778815
 61853.431372549  71.880558
62458.7254901961  71.982301
62276.1764705882  72.084044
 61853.431372549  72.185787
61843.8235294118   72.28753
61680.4901960784  72.389273
62439.5098039216  72.491016
62199.3137254902  72.592759
62132.0588235294  72.694502
           62305  72.796245
62381.8627450981  72.897988
62151.2745098039  72.999731
 61776.568627451  73.101474
 62189.705882353  73.203217
62151.2745098039   73.30496
62160.8823529412  73.406703
62333.8235294118  73.508446
62295.3921568628  73.610189
63256.1764705882  73.711932
61930.2941176471  73.813675
62285.7843137255  73.915418
62391.4705882353  74.017161
62362.6470588235  74.118904
62084.0196078431  74.220647
62516.3725490196   74.32239
62064.8039215686  74.424133
 62718.137254902  74.525876
61920.6862745098  74.627619
61805.3921568627  74.729362
62391.4705882353  74.831105
61863.0392156863  74.932848
61959.1176470588  75.034591
62084.0196078431  75.136334
62141.6666666667  75.238077
62477.9411764706   75.33982
62410.6862745098  75.441563
           63285  75.543306
62458.7254901961  75.645049
61690.0980392157  75.746792
62410.6862745098  75.848535
 61891.862745098  75.950278
62160.8823529412  76.052021
62554.8039215686  76.153764
62160.8823529412  76.255507
 62718.137254902   76.35725
61872.6470588235  76.458993
 61891.862745098  76.560736
62535.5882352941  76.662479
62045.5882352941  76.764222
 62228.137254902  76.865965
62535.5882352941  76.967708
61805.3921568627  77.069451
61911.0784313725  77.171194
62401.0784313725  77.272937
61766.9607843137   77.37468
61834.2156862745  77.476423
62285.7843137255  77.578166
62602.8431372549  77.679909
62189.7058823529  77.781652
62247.3529411765  77.883395
61834.2156862745  77.985138
62035.9803921569  78.086881
 62343.431372549  78.188624
61257.7450980392  78.290367
62276.1764705882   78.39211
62708.5294117647  78.493853
62256.9607843137  78.595596
62506.7647058824  78.697339
62458.7254901961  78.799082
62026.3725490196  78.900825
61930.2941176471  79.002568
62035.9803921569  79.104311
62401.0784313725  79.206054
62151.2745098039  79.307797
61545.9803921569   79.40954
61517.1568627451  79.511283
62170.4901960784  79.613026
 61738.137254902  79.714769
62458.7254901961  79.816512
62458.7254901961  79.918255
62353.0392156863  80.019998
61987.9411764706  80.121741
 62343.431372549  80.223484
62324.2156862745  80.325227
62276.1764705882   80.42697
62353.0392156863  80.528713
61843.8235294118  80.630456
62324.2156862745  80.732199
62276.1764705882  80.833942
62525.9803921569  80.935685
62247.3529411765  81.037428
63121.6666666667  81.139171
62103.2352941177  81.240914
62535.5882352941  81.342657
62987.1568627451    81.4444
62353.0392156863  81.546143
62372.2549019608  81.647886
62429.9019607843  81.749629
62525.9803921569  81.851372
62391.4705882353  81.953115
 61699.705882353  82.054858
62084.0196078431  82.156601
61978.3333333333  82.258344
 62228.137254902  82.360087
62218.5294117647   82.46183
62084.0196078432  82.563573
61786.1764705882  82.665316
61834.2156862745  82.767059
62218.5294117647  82.868802
           61815  82.970545
62132.0588235294  83.072288
62170.4901960784  83.174031
61824.6078431373  83.275774
61449.9019607843  83.377517
62218.5294117647   83.47926
61574.8039215686  83.581003
61747.7450980392  83.682746
62007.1568627451  83.784489
61709.3137254902  83.886232
62285.7843137255  83.987975
 62228.137254902  84.089718
62593.2352941176  84.191461
           62305  84.293204
62055.1960784314  84.394947
 62266.568627451   84.49669
 62266.568627451  84.598433
61863.0392156863  84.700176
61459.5098039216  84.801919
62035.9803921569  84.903662
61459.5098039216  85.005405
62064.8039215686  85.107148
62026.3725490196  85.208891
62170.4901960784  85.310634
 62343.431372549  85.412377
61574.8039215686   85.51412
 62343.431372549  85.615863
62698.9215686274  85.717606
62064.8039215686  85.819349
61805.3921568627  85.921092
61555.5882352941  86.022835
62122.4509803922  86.124578
62199.3137254902  86.226321
61882.2549019608  86.328064
61911.0784313726  86.429807
61728.5294117647   86.53155
62439.5098039216  86.633293
62410.6862745098  86.735036
62401.0784313725  86.836779
61949.5098039216  86.938522
61911.0784313725  87.040265
62026.3725490196  87.142008
 62343.431372549  87.243751
62439.5098039216  87.345494
63121.6666666667  87.447237
62151.2745098039   87.54898
61747.7450980392  87.650723
62650.8823529412  87.752466
62391.4705882353  87.854209
61920.6862745098  87.955952
61968.7254901961  88.057695
61882.2549019608  88.159438
62132.0588235294  88.261181
62333.8235294118  88.362924
62189.7058823529  88.464667
62593.2352941176   88.56641
61901.4705882353  88.668153
62612.4509803922  88.769896
62170.4901960784  88.871639
62132.0588235294  88.973382
63294.6078431372  89.075125
61690.0980392157  89.176868
62429.9019607843  89.278611
62189.7058823529  89.380354
62141.6666666667  89.482097
62093.6274509804   89.58384
62583.6274509804  89.685583
62247.3529411765  89.787326
           61815  89.889069
62045.5882352941  89.990812
62237.7450980392  90.092555
62650.8823529412  90.194298
62074.4117647059  90.296041
62314.6078431373  90.397784
62295.3921568627  90.499527
62141.6666666667   90.60127
62477.9411764706  90.703013
62247.3529411765  90.804756
62948.7254901961  90.906499
62401.0784313725  91.008242
 62833.431372549  91.109985
62948.7254901961  91.211728
62276.1764705882  91.313471
62141.6666666667  91.415214
62151.2745098039  91.516957
62564.4117647059    91.6187
 62228.137254902  91.720443
62477.9411764706  91.822186
61507.5490196078  91.923929
62112.8431372549  92.025672
62574.0196078431  92.127415
62449.1176470588  92.229158
62314.6078431373  92.330901
62093.6274509804  92.432644
63188.9215686275  92.534387
62084.0196078431   92.63613
62564.4117647059  92.737873
62324.2156862745  92.839616
 61776.568627451  92.941359
61901.4705882353  93.043102
62612.4509803922  93.144845
62333.8235294118  93.246588
61968.7254901961  93.348331
62391.4705882353  93.450074
 62266.568627451  93.551817
61930.2941176471   93.65356
62670.0980392157  93.755303
62333.8235294118  93.857046
62660.4901960784  93.958789
62372.2549019608  94.060532
62622.0588235294  94.162275
61987.9411764706  94.264018
 61853.431372549  94.365761
62372.2549019608  94.467504
 62381.862745098  94.569247
62506.7647058824   94.67099
61594.0196078432  94.772733
61718.9215686275  94.874476
62170.4901960784  94.976219
61843.8235294118  95.077962
62439.5098039216  95.179705
62237.7450980392  95.281448
62525.9803921569  95.383191
62208.9215686275  95.484934
62391.4705882353  95.586677
62333.8235294118   95.68842
62737.3529411765  95.790163
62891.0784313725  95.891906
62112.8431372549  95.993649
62372.2549019608  96.095392
62132.0588235294  96.197135
62247.3529411765  96.298878
62506.7647058824  96.400621
62170.4901960784  96.502364
61997.5490196078  96.604107
62420.2941176471   96.70585
62295.3921568627  96.807593
62285.7843137255  96.909336
62295.3921568628  97.011079
62458.7254901961  97.112822
 62756.568627451  97.214565
62583.6274509804  97.316308
61959.1176470588  97.418051
62506.7647058823  97.519794
           63285  97.621537
62516.3725490196   97.72328
62439.5098039216  97.825023
62391.4705882353  97.926766
62967.9411764706  98.028509
62727.7450980392  98.130252
62708.5294117647  98.231995
62843.0392156863  98.333738
62631.6666666667  98.435481
62093.6274509804  98.537224
 62718.137254902  98.638967
62545.1960784314   98.74071
61987.9411764706  98.842453
 62343.431372549  98.944196
61786.1764705882  99.045939
62891.0784313726  99.147682
 62420.294117647  99.249425
62506.7647058824  99.351168
62593.2352941177  99.452911
62574.0196078431  99.554654
62180.0980392157  99.656397
62506.7647058824   99.75814
62564.4117647059  99.859883
62641.2745098039  99.961626
62746.9607843137 100.063369
62084.0196078431 100.165112
62362.6470588235 100.266855
62132.0588235294 100.368598
61949.5098039216 100.470341
 62266.568627451 100.572084
62593.2352941177 100.673827
61911.0784313725  100.77557
62218.5294117647 100.877313
62737.3529411765 100.979056
63217.7450980392 101.080799
61603.6274509804 101.182542
61805.3921568628 101.284285
62506.7647058824 101.386028
62449.1176470588 101.487771
62218.5294117647 101.589514
62881.4705882353 101.691257
